iter	Passed	Remaining
443	1241	1554
444	1243	1550
445	1244	1546
446	1247	1542
447	1249	1539
448	1251	1536
449	1254	1533
450	1256	1529
451	1258	1525
452	1260	1521
453	1262	1518
454	1265	1515
455	1270	1516
456	1272	1512
457	1275	1509
458	1277	1505
459	1279	1502
460	1284	1502
461	1286	1498
462	1288	1494
463	1290	1490
464	1292	1486
465	1293	1482
466	1296	1479
467	1300	1478
468	1302	1474
469	1303	1470
470	1305	1466
471	1307	1462
472	1309	1458
473	1312	1456
474	1314	1452
475	1316	1449
476	1318	1445
477	1320	1441
478	1322	1438
479	1323	1434
480	1328	1433
481	1330	1430
482	1332	1426
483	1334	1422
484	1336	1418
485	1337	1414
486	1339	1411
487	1343	1410
488	1346	1407
489	1348	1403
490	1350	1399
491	1351	1395
492	1353	1392
493	1355	1388
494	1367	1394
495	1368	1390
496	1370	1386
497	1373	1384
498	1375	1381
499	1377	1377
500	1379	1373
501	1380	1369
502	1382	1366
503	1384	1362
504	1385	1358
505	1390	1357
506	1392	1353
507	1393	1349
508	1395	1346
509	1397	1342
510	1399	1339
511	1401	1335
512	1404	1332
513	1405	1329
514	1407	1325
515	1409	1322
516	1411	1318
517	1413	1315
518	1415	1311
519	1419	1310
520	1421	1307
521	1423	1303
522	1424	1299
523	1426	1295
524	1428	1292
525	1430	1289
526	1434	1287
527	1436	1284
528	1438	1280
529	1439	1276
530	1441	1273
531	1443	1269
532	1445	1266
533	1448	1264
534	1451	1261
535	1452	1257
536	1454	1254
537	1456	1250
538	1457	1246
539	1459	1243
540	1462	1240
541	1465	1238
542	1467	1234
543	1469	1231
544	1470	1227
545	1472	1224
546	1474	1221
547	1477	1218
548	1479	1215
549	1481	1212
550	1483	1208
551	1485	1205
552	1487	1202
553	1489	1198
554	1491	1195
555	1494	1193
556	1496	1190
557	1499	1187
558	1500	1183
559	1502	1180
560	1504	1177
561	1509	1176
562	1511	1173
563	1513	1169
564	1515	1167
565	1518	1164
566	1520	1161
567	1524	1159
568	1526	1156
569	1528	1152
570	1529	1149
571	1531	1145
572	1533	1142
573	1535	1139
574	1539	1137
575	1541	1134
576	1543	1131
577	1544	1127
578	1546	1124
579	1548	1121
580	1551	1118
581	1554	1116
582	1556	1113
583	1558	1110
584	1561	1107
585	1563	1104
586	1565	1101
587	1570	1100
588	1572	1097
589	1574	1094
590	1577	1091
591	1579	1088
592	1584	1087
593	1586	1084
594	1588	1081
595	1590	1078
596	1606	1084
597	1608	1081
598	1610	1078
599	1612	1075
600	1616	1073
601	1618	1070
602	1620	1066
603	1622	1063
604	1624	1060
605	1626	1057
606	1630	1055
607	1632	1052
608	1634	1049
609	1636	1046
610	1638	1042
611	1640	1039
612	1641	1036
613	1647	1035
614	1649	1032
615	1651	1029
616	1653	1026
617	1655	1023
618	1657	1020
619	1663	1019
620	1665	1016
621	1666	1012
622	1668	1009
623	1671	1006
624	1672	1003
625	1678	1002
626	1680	999
627	1682	996
628	1684	993
629	1685	990
630	1687	987
631	1692	985
632	1694	982
633	1696	979
634	1697	975
635	1699	972
636	1701	969
637	1703	966
638	1706	963
639	1708	960
640	1709	957
641	1711	954
642	1713	951
643	1714	947
644	1716	944
645	1721	943
646	1723	940
647	1724	937
648	1726	933
649	1728	930
650	1730	927
651	1732	924
652	1736	922
653	1738	919
654	1740	916
655	1742	913
656	1743	910
657	1745	907
658	1749	905
659	1752	902
660	1754	899
661	1755	896
662	1757	893
663	1759	890
664	1761	887
665	1765	885
666	1767	882
667	1769	879
668	1770	876
669	1772	873
670	1774	870
671	1776	867
672	1780	865
673	1783	862
674	1784	859
675	1786	856
676	1788	853
677	1790	850
678	1793	847
679	1796	845
680	1797	842
681	1799	839
682	1801	835
683	1803	832
684	1804	829
685	1806	826
686	1810	825
687	1812	821
688	1814	818
689	1815	815
690	1817	812
691	1819	809
692	1820	806
693	1824	804
694	1826	801
695	1828	798
696	1830	795
697	1831	792
698	1834	789
699	1835	786
700	1838	784
701	1840	781
702	1842	778
703	1844	775
704	1845	772
705	1847	769
706	1849	766
707	1850	763
708	1854	761
709	1857	758
710	1858	755
711	1860	752
712	1862	749
713	1863	746
714	1865	743
715	1868	740
716	1870	738
717	1872	735
718	1874	732
719	1876	729
720	1878	726
721	1879	723
722	1881	720
723	1884	718
724	1886	715
725	1888	712
726	1889	709
727	1891	706
728	1893	703
729	1895	700
730	1897	698
731	1900	695
732	1901	692
733	1903	689
734	1904	686
735	1906	683
736	1908	680
737	1910	678
738	1915	676
739	1917	673
740	1919	670
741	1920	667
742	1922	664
743	1924	662
744	1925	659
745	1929	657
746	1932	654
747	1933	651
748	1935	648
749	1937	645
750	1939	643
751	1941	640
752	1945	638
753	1947	635
754	1949	632
755	1951	629
756	1953	627
757	1955	624
758	1959	622
759	1962	619
760	1964	617
761	1967	614
762	1970	611
763	1977	610
764	1980	608
765	1984	606
766	1991	605
767	1993	602
768	1996	599
769	1998	596
770	2001	594
771	2006	592
772	2009	590
773	2018	589
774	2022	587
775	2024	584
776	2026	581
777	2029	578
778	2032	576
779	2038	574
780	2039	572
781	2041	569
782	2043	566
783	2045	563
784	2047	560
785	2051	558
786	2053	555
787	2055	552
788	2057	550
789	2058	547
790	2060	544
791	2062	541
792	2066	539
793	2069	536
794	2071	534
795	2073	531
796	2075	528
797	2077	525
798	2081	523
799	2083	520
800	2085	518
801	2087	515
802	2089	512
803	2090	509
804	2092	506
805	2096	504
806	2098	501
807	2100	499
808	2102	496
809	2104	493
810	2106	490
811	2109	488
812	2112	485
813	2113	483
814	2115	480
815	2117	477
816	2119	474
817	2120	471
818	2122	469
819	2126	466
820	2128	464
821	2130	461
822	2132	458
823	2133	455
824	2135	452
825	2137	450
826	2141	447
827	2143	445
828	2145	442
829	2147	439
830	2148	437
831	2150	434
832	2152	431
833	2156	429
834	2158	426
835	2160	423
836	2161	420
837	2163	418
838	2165	415
839	2167	412
840	2171	410
841	2173	407
842	2175	405
843	2177	402
844	2179	399
845	2180	397
846	2182	394
847	2187	392
848	2188	389
849	2190	386
850	2192	383
851	2193	381
852	2195	378
853	2197	375
854	2198	372
855	2202	370
856	2204	367
857	2205	365
858	2207	362
859	2209	359
860	2211	357
861	2215	354
862	2218	352
863	2220	349
864	2222	346
865	2224	344
866	2227	341
867	2234	339
868	2237	337
869	2239	334
870	2241	331
871	2243	329
872	2247	326
873	2249	324
874	2252	321
875	2256	319
876	2262	317
877	2265	314
878	2267	312
879	2269	309
880	2272	306
881	2277	304
882	2281	302
883	2283	299
884	2286	297
885	2289	294
886	2294	292
887	2296	289
888	2299	287
889	2301	284
890	2304	281
891	2309	279
892	2312	277
893	2315	274
894	2317	271
895	2319	269
896	2325	267
897	2328	264
898	2332	262
899	2334	259
900	2339	257
901	2342	254
902	2344	251
903	2347	249
904	2357	247
905	2359	244
906	2361	242
907	2363	239
908	2365	236
909	2366	234
910	2371	231
911	2373	229
912	2375	226
913	2377	223
914	2378	220
915	2380	218
916	2383	215
917	2386	213
918	2387	210
919	2389	207
920	2391	205
921	2393	202
922	2395	199
923	2396	197
924	2401	194
925	2403	192
926	2405	189
927	2407	186
928	2408	184
929	2410	181
930	2414	178
931	2417	176
932	2419	173
933	2421	171
934	2423	168
935	2424	165
936	2427	163
937	2432	160
938	2434	158
939	2436	155
940	2438	152
941	2441	150
942	2446	147
943	2447	145
944	2449	142
945	2451	139
946	2453	137
947	2455	134
948	2457	132
949	2462	129
950	2464	126
951	2467	124
952	2468	121
953	2470	119
954	2472	116
955	2477	114
956	2479	111
957	2481	108
958	2483	106
959	2485	103
960	2487	100
961	2492	98
962	2494	95
963	2496	93
964	2498	90
965	2500	88
966	2502	85
967	2506	82
968	2508	80
969	2511	77
970	2513	75
971	2516	72
972	2518	69
973	2523	67
974	2526	64
975	2530	62
976	2534	59
977	2537	57
978	2540	54
979	2543	51
980	2545	49
981	2553	46
982	2556	44
983	2558	41
984	2560	38
985	2562	36
986	2567	33
987	2570	31
988	2572	28
989	2574	26
990	2576	23
991	2579	20
992	2582	18
993	2584	15
994	2586	12
995	2589	10
996	2592	7
997	2598	5
998	2600	2
999	2602	0
